KPid,Type,NameFilm,Year,Countries,Genres,ratingKP,ratingImdb,ratingMpaa,ratingAgeLimits,Description,WebUrl,WebUrl2,PosterUrl
258294,TV_SERIES,Подростки с улицы Деграсси,1987.0,['Канада'],"['драма', 'мелодрама', 'семейный']",8.4,8.2,,,"Продолжение сериала «Дети с улицы Деграсси». Герои окончили среднюю школу и перешли в колледж. Правда, от этого их жизнь становится только веселее, благодаря череде щекотливых и невероятно забавных ситуаций.",https://w4.kpfr.wiki/film/258294/,https://www.kinopoisk.ru/film/258294/,https://kinopoiskapiunofficial.tech/images/posters/kp/258294.jpg
258293,FILM,Старшеклассники Деграсси: Прощай школа,1992.0,['Канада'],['драма'],8.4,8.2,,,"Вниманию зрителей представлена обыкновенная жизнь школьников из канадского города, которые учатся, общаются с родителями, гуляют после школы, влюбляются, ругаются, мирятся, попадают в сложные ситуации...",https://w4.kpfr.wiki/film/258293/,https://www.kinopoisk.ru/film/258293/,https://kinopoiskapiunofficial.tech/images/posters/kp/258293.jpg
258291,TV_SERIES,Ранма 1/2,1989.0,['Япония'],"['мелодрама', 'боевик', 'фэнтези', 'комедия', 'мультфильм', 'аниме']",7.7,7.9,,,"Недавно отец взял 16-летнего Ранма Саотомэ с собой в тренировочное путешествие в Китай, чтобы сделать из него настоящего мужчину — достойного наследника Школы универсальных боевых искусств. Там они попадают в Долину проклятых источников, где Ранма случайно падает в источник утонувшей девушки, а Гэнма — в источник утонувшей панды. Теперь, если их облить холодной водой, Ранма превращается в девушку, а Гэнма — в панду. Горячая вода возвращает им прежний облик.",https://w4.kpfr.wiki/film/258291/,https://www.kinopoisk.ru/film/258291/,https://kinopoiskapiunofficial.tech/images/posters/kp/258291.jpg
258289,MINI_SERIES,Мобильный воин Гандам 0080: Карманная война,1989.0,['Япония'],"['драма', 'фантастика', 'боевик', 'мультфильм', 'аниме']",6.9,8.0,,,"Однолетняя война близка к завершению, поражение Герцогства уже неминуемо. Республика Риа, расположенная в группе колоний «Сторона 6» и ранее соблюдавшая нейтралитет, начала тайные переговоры с Земной Федерацией и позволила разместить на своей территории земной гарнизон.

Колония Либот входит в республику Риа. Ее жители не знают ужасов войны и продолжают спокойно жить, учиться и работать. Однако через Либот проходят секретные военные поставки Земли, и потому колония становится объектом внимания элитной группы спецназа Герцогства. В последний момент в состав группы захвата включают молодого пилота Бернарда Вайзмана, не имеющего опыта операций такого рода.

Вайзман уже был на Либоте - его «мобильный скафандр» был сбит в сражении с земным гарнизоном. Спастись Бернарду помог одиннадцатилетний Альфред Изуруха, обожающий собирать военную символику и слушать рассказы о войне.

Вернувшись на Либот, Вайзман снова сталкивается с Альфредом и знакомится с его красавицей-соседкой Кристиной Мак-Кензи. Молодые люди нравятся друг другу, но Кристина не знает, что Бернард - боевой пилот Герцогства, а Бернард не знает, что Кристина - боевой пилот Федерации...",https://w4.kpfr.wiki/film/258289/,https://www.kinopoisk.ru/film/258289/,https://kinopoiskapiunofficial.tech/images/posters/kp/258289.jpg
258288,MINI_SERIES,Макросс II: Влюблённые вновь,1992.0,['Япония'],"['фантастика', 'боевик', 'мультфильм', 'аниме']",5.8,6.0,,,"Зентреди снова нападают. На сей раз в их распоряжении есть музыка, нейтрализующая воздействие голоса Минмэй. В центре событий оказывается тележурналист Хибики Кандзаки, его друзья и враги, а Макроссу приходится снова отправиться в бой.",https://w4.kpfr.wiki/film/258288/,https://www.kinopoisk.ru/film/258288/,https://kinopoiskapiunofficial.tech/images/posters/kp/258288.jpg
258286,TV_SERIES,Новое шоу Тома и Джерри,1975.0,['США'],"['приключения', 'комедия', 'мультфильм', 'семейный']",7.3,7.8,,age12,"Том - кот, Джерри - мышонок. Кот - сильнее, мышонок - хитрее. За долгие годы своих отношений оба героя так привыкли друг к другу, что стали почти друзьями. Однако старое соперничество никуда не ушло и вспыхивает каждый раз вновь по любому подходящему поводу...",https://w4.kpfr.wiki/film/258286/,https://www.kinopoisk.ru/film/258286/,https://kinopoiskapiunofficial.tech/images/posters/kp/258286.jpg
258285,TV_SERIES,Мобильный воин Гандам Зета,1985.0,['Япония'],"['драма', 'фантастика', 'боевик', 'мультфильм', 'аниме']",6.7,8.0,,,"Для окончательного подавления повстанческих настроений Земная Федерация создала элитное подразделение «Титаны». В 85 году ВВ «Титаны» уничтожили 3 миллиона человек на тридцатой колонии «Стороны 1». После этого ужасного преступления был создан СБЗ (Союз борцов с Землей), поставивший своей целью борьбу с «Титанами». В СБЗ вошли бывшие пилоты Федерации и Герцогства.",https://w4.kpfr.wiki/film/258285/,https://www.kinopoisk.ru/film/258285/,https://kinopoiskapiunofficial.tech/images/posters/kp/258285.jpg
258283,TV_SERIES,Немного блошек,2003.0,['Мексика'],"['мелодрама', 'боевик', 'комедия', 'семейный']",,7.1,,,"История о мальчике, Данило, с позитивным настроем и внутренней силой, которого ничто в мире не может надломить. Он должен работать, чтобы купить еду для себя и своей собаки Томаса. Данило, ждёт, что однажды его мать вернётся. В данных обстоятельствах он встретит старика, Дона Хулиана, и они объединятся: радость детства и мудрость старости. Кроме того, Данило познакомится с девочкой из богатой семьи, Алехандрой, жизнь которой в корне отличается от его.",https://w4.kpfr.wiki/film/258283/,https://www.kinopoisk.ru/film/258283/,https://kinopoiskapiunofficial.tech/images/posters/kp/258283.jpg
258281,VIDEO,Мои собственные ошибки,2002.0,['США'],['комедия'],,4.4,,,,https://w4.kpfr.wiki/film/258281/,https://www.kinopoisk.ru/film/258281/,https://kinopoiskapiunofficial.tech/images/posters/kp/258281.jpg
258280,VIDEO,Мультеррор,2001.0,['США'],"['комедия', 'ужасы']",3.6,3.0,r,age18,"Родители сестер Синди и Санди на уик-энд уезжают из города и оставляют детей дома одних. Санди по почте получает таинственный пакет, в котором обнаруживает DVD диск с мультфильмом. Во время вечеринки, устроенной в доме Синди с друзьями, два кровожадных героя из мультфильма доктор Карнаг и Макс Ассассин выходят из мира мультипликации в наш мир. С этого момента дом сестер превращается в зловещий дом Ужаса. Синди - единственная, кто может остановить сумасшедших мультипликаций, спасти своих друзей, но для этого нужно самой остаться в живых…",https://w4.kpfr.wiki/film/258280/,https://www.kinopoisk.ru/film/258280/,https://kinopoiskapiunofficial.tech/images/posters/kp/258280.jpg
